totexp,food,hhincomepc
5309.666504,1377.833374,4599
1389,1245.833374,12000
5702.833496,1456,6000
1678.75,1089.416626,4650
2076.833252,1406.666626,3975
6581.666504,2420.5,15664.61538
7386.833496,5576.166504,12471.34295
3924,2489,7750
4921.666504,1011.666687,10969.59859
14840.66699,2703.833252,22440
3011.375,1728.041626,17788.74538
2785.083252,1257.916626,1555.555556
4380.208496,2026.791626,2945.454545
910.666687,609.833374,7700
6304.666504,2187.916504,1857.142857
1996,1091.166626,3073.74525
3521.916748,1715.5,2845.461507
5119.083496,2195.833252,5356
8155.833496,2511.333252,5845.714286
5312.5,3625,3300
30,0,1510
2110.367432,1034.450806,2675.457678
4243.333496,1080.666748,2328
560.666687,343.1666565,1566.666667
1549.416626,744.333313,2566.666667
3492.916748,893.666687,14600
3744.25,604.416687,24856
2014.166626,840.333313,9355
1319.916626,635.75,2850
2718.333252,1101.166626,3000
2134.833252,1164.666626,34697.5
1544.916626,871.583313,6900
1538.083374,722.666687,1020.078459
1053.25,785.416687,973.5208152
1533.333374,1075,2805.498428
1783.666626,775.833313,9570.666667
1033.75,577.5,2030
5735.25,656.833313,9623.333333
2933.083252,752.75,5760
2774.666748,1424.333374,4045.5
4378.333496,1955.416626,19207.64706
3208.166748,1311,28387.5
2642.25,1100.083374,14677.14286
2263.75,981.833313,2318.857143
2314.5,748.083313,4585.714286
2468.416748,1340.416626,843.8806217
1617.583374,1140.083374,6260
2412.25,1063.5,57552.5
3069.166748,1360.416626,8870
2701.958252,980.458313,19273
4265.666504,1264.75,16262.5
1103.666626,499.9166565,3730
2552.916748,1165.25,31800
10558.5,1705.083374,13050
7677.083496,2825.25,10240
2408.75,1226.25,3257.142857
10208.58301,2744.166748,41100
12579.16699,4724.833496,872.7272727
4255.333496,2583.333496,16505.71429
2541.083252,1107,9042.857143
3409.083252,1762.5,9500
3861.083252,2118.083252,15152
2962.333252,1073.833374,342.8571429
2701.166748,1430.916626,3916
6966.333496,2071.666748,7418.666667
5272.416504,2543.333496,10114.66667
4428.416504,1112.666626,3733.333333
2297.166748,992.166687,2625
1526.166626,851,3369.714286
2313.75,928,7388.571429
6627.166504,1674.5,6569.333333
3317.291748,1664.541626,127100
7842.458496,2048.041748,14100
6198.266113,2058.099609,5090
2823,841.666687,12000
996,547.25,9900
2111.25,919.166687,2080
1946,1081.5,2036.875
1961.166626,760.333313,35896.5
2830.958252,1132.458374,64730
2853.25,1365.416626,4777.777778
6838.88623,2472.469482,8096.363636
1603.5,760.25,12295
6222.75,1342.166626,7996.4
2342.25,1046.583374,6302.777778
2412.333252,1634.166626,9074
1780.583374,699.916687,5059
4832.25,1799.666626,6844
5704,3116.166748,5031.666667
3093.595215,1244.845215,3973.75
6055.5,2934.666748,2000
2559.493652,902.7435913,6670
16323.43555,6457.936035,6844.2085
13367.5,3414.333252,4420
3001.416748,1636.666626,13553.23077
2225.333252,860.25,6876
2464.791748,929.375,2533.333333
8427.916992,2757.833252,21154.4117
2742.583252,1018.083313,4038.833333
2240.916748,1468.666626,3182
2208.583252,1284.333374,20937.2
20991.35742,7869.606934,85913.56412
10220.22852,1925.333374,8745.202325
2055.333252,1342.5,6574.291733
4669.393066,2165.452393,3241.465777
3583.511963,1882.166626,6586.360741
5537.333496,1573.5,4509.375
3686.440674,1653.833374,2275.813747
3854.940674,2052.333496,4416.59492
2901.845215,1828.333374,3184.032889
11301.27344,3259.833252,12090.3327
3822.898926,2785.625,1810.332698
8286.732422,2926.125,3465.801314
2196.136963,1406.208374,2372.892572
3607.790771,2274.041748,2467.347637
3322.143066,1281.5,16112.70555
1887.583374,993,828.3407452
3770.595215,1430.416626,4014.041111
4137.25,1536.25,4246
5964.5,1942.75,13121.77778
1698.5,830.583313,2765.833333
1868.166626,846.333313,10109.16667
1082.25,657.416687,2900
3024.666748,1440.666626,3222.5
3992.833252,2169.833496,18201.27273
2863.75,812.666687,16740
7381.75,1813.166626,5693.333333
5237.572754,2185.65625,21430
5042.907227,1078.157349,400
3064.416748,775.416687,3925
5700.166504,1561.5,1145.454545
1995.250244,716.4168701,18397.14286
8423.75,3065.416748,7371.428571
2476.25,776.083313,1600
1506.916626,884.5,1525
1026.083374,573.916687,1300
4102.666504,1161.583374,2049.230769
2039.416626,865.75,4288.333333
1782.916626,1123.416626,7285
1557.5,1339.833374,965.5555556
2031.583374,922.583313,2542.285714
545.416687,300,5130
729.166687,349.75,3733.333333
2612.083252,1832.083374,3165
1266.166626,681.5,22054.54545
1985.25,1514.916626,4285
1901.75,544.916687,2074.857143
1610.083374,999.75,4395
713,402.3333435,2670
2068.166748,1604,383.8686462
2584.166748,1460.333374,6294.166667
4019.333252,1431,1912.1875
6322.666504,2265.166748,550
8529.316406,4698.816895,8009.845074
1906.416626,1163.333374,8610.857143
5562.083496,1771.25,28536
3511.866699,1889.533447,1997.272727
2674.335449,1551.918701,5362.5
1644.333374,676.583313,2102.6
1958,742.333313,1874.714286
8715.851563,2563.518555,2520
2024.75,1006.75,2339.56
3601.333252,1611.333374,3630
10741.41699,1570.916626,16439
3438,1610.5,1353.714286
2483,803,4877.5
5330.5,2993.25,19219.22338
4348.25,2467.833252,3624.5
8261.666992,2277.833252,2946.666667
3567,2210.5,2896.363636
8514.5,3764.833252,8347.498761
9974.75,2411.75,14313.33333
9188.166992,1983.75,489.4
2460.75,1040.5,9753.333333
1527.89917,878.3991699,32533.33333
1652.5,955.666687,3732.727273
8730.416992,1847.583374,6876
2864.25,1357.333374,342.8571429
1941.916626,991.166687,2660
1620.333374,1007.666687,1900
3852.583252,1013.166687,11626
12030.32715,909.4938965,6750
3393.140625,1909.807251,40742.85714
4061.661133,1828.827881,5460
3037.298828,1051.798828,2250
3849.484131,1852.287231,1131.849158
2215.637451,808.1375122,4979.2
3312.554932,1668.888184,13050
4097.220215,1779.136963,10608.92308
6493.294922,1050.71167,21388
4317.558105,1009.974731,3328.571429
1165.436523,486.1031799,5735.2
5556.543945,3205.210693,2181.818182
1743.965942,690.0493164,6735.5
4107.916992,1309.916748,12150
2414.945313,1700.778687,8100
3430.743164,1537.576416,5172
2297.027588,1235.610962,9146.5
2105.39917,1191.64917,337.5
3010.696777,1405.446777,2340
4630.868164,2178.701416,977.1428571
1109.834595,493.4179382,3600
1753.498535,1177.915283,6590
2362.5625,1301.229126,3000
1735.410156,925.7434082,5100
1518.917358,911.3341064,7060
2692.351563,1052.268311,5230.5
2245.653809,1082.987061,7652
2433.943848,1424.777222,3266.666667
1620.9646,1216.381226,600
3598.54541,1476.04541,1980
3247.915527,1774.665527,586.6666667
3870.65625,1189.134155,10605.88155
1837.75,1025.833374,1795.269488
2266.538574,1104.666626,4193.971216
1604.583374,635.333313,2771.5
5112.125977,781.8760376,2202.571429
2143.833252,766.166687,2525
4045.152344,1188.652466,15267
6164.583496,1574.416626,1513.333333
5389.902344,1192.319092,24610
5459.333496,1143.5,4790.084579
2499.833252,1181.083374,25580
3025.583252,1110.416626,3538.285714
3772.152344,1359.652466,18880
213.8333282,88.5,5400
2078.455078,1196.5,4970.956824
2461.633789,1125.333374,1635.554638
3167.333252,1933.333374,6121.428571
1725.08252,1052.5,234.8095456
2157.166748,770.833313,6097.940856
2879.583252,1608.416626,2687.5
1754.583374,740,450
5513.916504,1062.25,5568
1253.666626,550.666687,990
2346.650391,1184.650391,3780
1010.166687,653.166687,210
2333.666748,448.9166565,600
2093.833252,1215,2367.744617
2950,1784.166626,3768.571429
2108.833252,1101,3831.2
4238.005859,2243.422852,78125.625
1436.511963,842.5,479.4520633
4415.522461,1495.688965,22680
2745.333252,1869.666626,14750
3668.083252,818.583313,514.2857143
104269.4141,1951.416626,225
3647.083252,1362.583374,225
4826.833496,1210.166626,1933.333333
2495.833252,1012.666687,1313.666667
1697.333374,800.833313,1834.285714
3445.166748,1616.333374,2540
1223.75,579.583313,5220
1434.333374,783.666687,2220
802.0952759,462.3333435,2118.721481
2970.178711,1090.416626,3144.360741
2340.666748,1004.833313,357.7142857
2596.437012,1633.270386,5413.424866
2756.25,1109.25,5947.5
3060.09082,1678.554932,7023.530342
58.33333206,0,460
4492.833496,1509.333374,16900
6522.583496,3610.666748,5600
3179.75,946.833313,14035
9808.75,2522.416748,68054.375
7515.583496,1765.333374,3907.142857
7530.666504,1256.5,4628.571429
3457.75,1198.5,10412.5
2390.666748,1068.333374,19200
2035.333374,1081.5,3025.915357
4997.666504,2380.166748,8880
1939.5,1108.666626,16080
2487.916748,1127.5,5460
4569.083496,2028.166626,5250
2153.916748,1512.5,3942.857143
3193,1031.666626,17040
2143.666748,645.5,3880
1745.333374,747.666687,22592
4616.708496,1924.458374,34466.375
6147.416504,947.666687,36921
4987.166504,2549,6720
1804.291626,615.541687,7180
1927.708374,1054.208374,4268.571429
3653.541748,1951.291626,9365.555556
1924.458374,822.208313,7416.666667
2279.208252,1184.541626,3170.2
2325.625,863.625,5888
5396.958496,1650.958374,9293.75
2642.25,898.916687,13233.33333
2877.208252,1317.708374,4954
3385.583252,543.416687,116240
2706.111084,1439.194458,675
3513.833252,1848.666626,6699.142857
3284.083252,1705.416626,1326.25
2600.125,903.708313,2733.333333
2887.791748,1001.541687,1361.428571
2471.375,1053.958374,6300
2418.452881,1041.286255,7166.666667
4270.875,1673.708374,6583.333333
2816.083252,1420.166626,346.6666667
1980.583374,983.416687,3781.714286
4606.916504,1698.083374,3014.444444
1790.583374,973.083313,5023
4044.458252,1653.791626,9545.454545
2446.833252,1667,11185.71429
2480.375,1344.041626,11070
3201.398926,989.5654907,3175.714286
882.666687,372.3333435,28170
7490.654785,1276.321411,5319.333333
27141.92383,13537.5918,17126.85535
7353.032715,2734.949707,7065.714286
5962.949707,508.6163635,49175
2767.210449,1418.877075,5556.666667
21705.53125,1483.364014,96504.85714
4370.161621,1272.495117,25516
6385.793945,4497.126953,10460.66667
8563.773438,2744.023926,3777.777778
1251.01123,722.6779175,3706.666667
2602.501709,1615.001587,6600
2574.341309,1794.174683,9684
1983.75769,1046.591064,5160
3106.887939,2387.221436,2057.142857
1614.671509,1274.754761,1800
3797.488281,2549.655029,5837.5
