abd,age,fthr_ed,educ,log.wage
0,28,7,4,8.74049673
0,15,10,7,0
1,14,4,3,6.062788064
1,28,10,13,6.754770616
1,24,0,7,7.783640596
1,24,12,12,7.33918799
0,14,0,5,0
0,19,7,7,7.601402335
0,28,10,13,9.210440367
0,18,7,3,0
1,20,0,6,6.285465913
0,19,10,11,0
1,21,12,6,6.646690176
1,27,4,6,7.265129966
0,20,10,7,8.294299609
0,25,4,10,9.210440367
0,26,7,13,6.977681065
0,15,12,5,0
0,26,7,11,0
1,23,7,7,6.685860947
0,30,0,3,8.294299609
1,23,7,3,8.006700845
1,27,4,7,8.517393171
0,14,4,5,0
0,14,4,7,0
0,14,7,7,8.699681401
0,22,7,11,0
0,15,10,5,0
1,25,4,6,8.294299609
1,25,4,9,6.398594935
1,15,4,7,0
1,16,7,7,8.112028014
0,28,15,15,10.81979828
0,15,7,7,7.419180698
1,23,4,8,8.586372751
1,26,10,15,9.455541054
1,15,4,7,0
1,17,4,5,6.908754779
0,19,4,10,6.795545938
0,25,7,2,8.363275834
1,28,4,5,8.22977775
1,18,10,13,0
1,22,4,10,5.738260561
1,22,0,5,8.412054873
0,22,7,10,7.524481248
1,16,10,6,8.517393171
1,19,7,4,7.601402335
0,24,10,10,7.670361905
0,30,10,7,8.699681401
0,28,10,16,10.1266711
0,27,10,10,7.514436411
1,20,7,2,8.294299609
1,19,7,10,7.601402335
0,20,4,6,7.313886832
1,20,10,7,7.670361905
1,28,10,11,7.95792733
1,21,10,13,0
0,25,10,10,0
0,15,4,8,5.880931937
0,17,7,6,0
0,26,7,13,0
0,15,10,5,7.755481584
0,20,4,6,6.908754779
1,26,4,5,9.903537551
0,15,10,5,6.908754779
0,14,7,5,6.216606101
0,17,10,10,6.908754779
0,28,7,7,6.908754779
1,19,7,7,7.265129966
0,18,7,8,6.908754779
0,20,7,7,6.908754779
1,21,10,9,8.160803921
1,25,4,4,8.354909528
0,14,10,8,0
1,18,7,3,6.726632978
0,20,4,7,6.726632978
0,30,4,9,6.908754779
1,17,4,5,0
0,18,15,7,6.908754779
1,16,4,9,0
0,23,10,13,6.908754779
1,18,15,9,0
1,22,12,10,0
1,28,7,6,6.034683642
1,22,15,13,8.987321813
0,17,10,9,0
0,21,10,11,0
1,20,10,8,8.517393171
1,25,0,3,7.39387829
1,17,4,2,7.378383713
0,17,10,7,6.908754779
1,30,0,5,0
0,14,4,4,0
1,30,10,5,7.755481584
0,17,7,7,0
0,16,10,6,7.196187101
0,17,7,7,7.601402335
0,22,7,8,7.70671285
1,14,7,6,6.478509642
1,17,4,11,7.601402335
1,21,10,10,7.419180698
1,14,10,6,7.244941546
1,15,10,7,6.552507887
0,23,4,9,8.517393171
0,19,12,11,0
1,19,4,11,9.210440367
0,22,4,12,0
0,14,4,6,0
1,18,7,6,7.467942332
0,26,7,4,6.908754779
0,15,10,7,6.552507887
0,18,4,11,0
0,18,4,10,0
1,17,4,10,8.374323128
1,19,7,10,7.601402335
1,22,0,10,7.95792733
1,18,7,11,0
1,19,0,5,8.032010329
0,26,12,16,7.95792733
1,29,7,6,8.112028014
0,17,4,5,0
0,16,7,2,7.719129841
0,18,7,8,0
1,19,10,11,6.685860947
1,16,7,9,0
1,21,7,5,5.190573047
1,28,10,2,7.670361905
1,25,0,9,7.824445931
1,24,10,5,0
1,24,4,7,7.13169851
0,17,4,7,0
0,28,12,10,7.265129966
0,17,4,12,0
1,16,12,8,6.646690176
1,20,0,9,6.977681065
1,23,7,6,5.264283186
0,22,4,7,8.217358538
1,19,7,11,0
1,25,4,10,0
0,20,4,12,0
1,23,7,11,8.74049673
1,20,7,7,6.726632978
0,29,4,0,0
0,15,7,7,6.908754779
1,18,4,6,7.601402335
