"wage","age","educ","exper","union","female","married","urban"
3.62222218513489,31,7,17,0,0,1,0
4.82291650772095,29,8,14,0,1,1,0
1.65555560588837,41,0,34,0,0,1,0
2.13750004768372,22,3,12,0,0,0,0
2.13750004768372,22,3,12,0,1,0,0
3.609375,31,2,22,0,0,0,0
1.578125,27,4,16,0,1,0,0
1.60416662693024,41,0,34,0,0,0,0
1.60416662693024,44,0,37,0,0,0,0
1.60416662693024,50,1,42,0,1,0,0
1.60416662693024,22,1,14,0,0,0,0
1.60416662693024,49,3,39,0,1,0,0
1.60416662693024,58,9,42,0,0,0,0
1.60416662693024,44,0,37,0,1,0,0
1.60416662693024,58,0,51,0,0,0,0
1.60416662693024,25,5,13,0,1,0,0
1.60416662693024,26,5,14,0,1,0,0
7.69999980926514,45,3,35,1,0,1,0
1.71111106872559,22,8,7,1,0,0,0
7.69999980926514,43,0,36,1,0,1,0
7.69999980926514,55,3,45,1,0,1,0
7.69999980926514,30,4,19,1,0,1,0
7.69999980926514,60,4,49,1,0,1,0
7.69999980926514,43,4,32,1,0,1,0
4.03333330154419,56,5,44,1,0,1,0
7.69999980926514,40,4,29,1,0,1,0
4.03333330154419,56,4,45,1,0,1,0
7.69999980926514,46,5,34,1,0,1,0
4.03333330154419,17,5,5,0,0,0,0
4.03333330154419,19,7,5,0,1,0,0
4.03333330154419,22,7,8,0,1,0,0
7.69999980926514,50,6,37,1,0,1,0
1.60416662693024,39,4,28,0,0,0,0
1.60416662693024,42,2,33,0,1,0,0
1.60416662693024,17,4,6,0,1,0,0
1.60416662693024,32,0,25,0,0,1,0
1.60416662693024,25,3,15,0,1,1,0
1.60416662693024,23,0,16,0,0,0,0
1.60416662693024,28,0,21,0,0,0,0
1.60416662693024,22,1,14,0,1,0,0
1.60416662693024,33,2,24,0,0,0,0
1.60416662693024,30,1,22,0,1,0,0
1.60416662693024,52,0,45,0,0,1,0
1.60416662693024,20,4,9,0,0,0,0
1.60416662693024,30,5,18,0,0,0,0
1.60416662693024,28,3,18,0,0,0,0
1.60416662693024,60,0,53,0,0,0,0
1.60416662693024,27,6,14,0,0,0,0
1.53999996185303,27,4,16,0,0,0,0
4.24375009536743,26,8,11,1,1,0,1
5.2211537361145,31,7,17,1,1,1,1
